order,context,next,count,probability
2,<S> Gm,Dm,1,0.5000
2,A C,F,4,0.4444
2,A C,A,3,0.3333
2,A C,<E>,2,0.2222
2,A D,A,18,1.0000
2,A F#,G,6,1.0000
2,Ab C,F,4,0.3636
2,Ab C,<E>,3,0.2727
2,Ab C,Am,1,0.0909
2,Ab C,Ab,1,0.0909
2,Ab C,Eb,1,0.0909
2,Ab C,Em,1,0.0909
2,Ab Cm,C,2,0.5000
2,Ab Cm,Ab,1,0.2500
2,Ab Cm,Fm,1,0.2500
2,Ab Db,Ab,1,1.0000
2,Ab Eb,C,1,1.0000
2,Ab Fm,Am,1,1.0000
2,Am Ab,C,3,1.0000
2,Am Bb,Gm,3,0.7500
2,Am Bb,Am,1,0.2500
2,Am C,Am,17,0.3091
2,Am C,<E>,9,0.1636
2,Am C,F,9,0.1636
2,Am C,Em,7,0.1273
2,Am C,Dm,5,0.0909
2,Am C,Fm,3,0.0545
2,Am C,Ab,2,0.0364
2,Am C,G,1,0.0182
2,Am C,E,1,0.0182
2,Am C,Bb,1,0.0182
2,Am D,C,2,0.4000
2,Am D,Am,2,0.4000
2,Am D,F,1,0.2000
2,Am Db,C,1,1.0000
2,Am Dm,Am,13,0.6190
2,Am Dm,C,5,0.2381
2,Am Dm,F,3,0.1429
2,Am E,Am,3,0.7500
2,Am E,C,1,0.2500
2,Am Em,Am,16,0.7273
2,Am Em,C,4,0.1818
2,Am Em,G,2,0.0909
2,Am F,C,7,0.7000
2,Am F,Am,3,0.3000
2,Am Fm,C,2,0.6667
2,Am Fm,Am,1,0.3333
2,Am G,Am,6,0.6000
2,Am G,C,4,0.4000
2,Am Gm,C,2,0.5000
2,Am Gm,Cm,1,0.2500
2,Am Gm,<E>,1,0.2500
2,B C,<E>,3,0.6000
2,B C,Am,2,0.4000
2,B Eb,G,1,0.5000
2,B Eb,<E>,1,0.5000
2,B G,Eb,1,1.0000
2,Bb Ab,C,1,1.0000
2,Bb Am,<E>,2,1.0000
2,Bb B,C,5,1.0000
2,Bb Bbm,F,1,1.0000
2,Bb C,Bb,2,0.4000
2,Bb C,Dm,2,0.4000
2,Bb C,<E>,1,0.2000
2,Bb Dm,Bb,3,1.0000
2,Bb F,C,1,1.0000
2,Bb Fm,C,1,1.0000
2,Bb Gm,Dm,3,1.0000
2,Bbm F,<E>,1,1.0000
2,Bbm Fm,Cm,1,1.0000
2,Bm C,Fm,2,1.0000
2,C A,C,7,0.5385
2,C A,D,6,0.4615
2,C Ab,C,5,0.6250
2,C Ab,Cm,2,0.2500
2,C Ab,Eb,1,0.1250
2,C Am,C,32,0.5246
2,C Am,F,6,0.0984
2,C Am,G,5,0.0820
2,C Am,<E>,4,0.0656
2,C Am,Dm,3,0.0492
2,C Am,D,3,0.0492
2,C Am,Ab,3,0.0492
2,C Am,Em,2,0.0328
2,C Am,Fm,1,0.0164
2,C Am,Db,1,0.0164
2,C Am,Gm,1,0.0164
2,C Bb,B,5,0.4545
2,C Bb,C,3,0.2727
2,C Bb,Ab,1,0.0909
2,C Bb,Dm,1,0.0909
2,C Bb,Am,1,0.0909
2,C Cm,Fm,1,1.0000
2,C D,C,1,1.0000
2,C Db,C,1,1.0000
2,C Dm,C,30,0.6000
2,C Dm,Fm,9,0.1800
2,C Dm,Am,8,0.1600
2,C Dm,Bb,2,0.0400
2,C Dm,Em,1,0.0200
2,C E,F,6,0.5455
2,C E,C,4,0.3636
2,C E,Dbm,1,0.0909
2,C Eb,C,4,0.5714
2,C Eb,Cm,2,0.2857
2,C Eb,F#,1,0.1429
2,C Em,C,47,0.7705
2,C Em,Am,7,0.1148
2,C Em,F,3,0.0492
2,C Em,Dm,2,0.0328
2,C Em,G,1,0.0164
2,C Em,Gm,1,0.0164
2,C F,C,84,0.7059
2,C F,Fm,21,0.1765
2,C F,Db,2,0.0168
2,C F,Eb,2,0.0168
2,C F,Em,2,0.0168
2,C F,A,2,0.0168
2,C F,Am,2,0.0168
2,C F,Bb,2,0.0168
2,C F,Ab,1,0.0084
2,C F,G,1,0.0084
2,C Fm,C,27,0.9310
2,C Fm,<E>,1,0.0345
2,C Fm,Eb,1,0.0345
2,C G,Am,2,0.6667
2,C G,F,1,0.3333
2,C Gm,Fm,6,0.4286
2,C Gm,Dm,5,0.3571
2,C Gm,Bm,2,0.1429
2,C Gm,C,1,0.0714
2,Cm Ab,Cm,2,1.0000
2,Cm Am,Gm,1,1.0000
2,Cm C,Ab,2,0.3333
2,Cm C,<E>,2,0.3333
2,Cm C,Cm,1,0.1667
2,Cm C,F,1,0.1667
2,Cm E,C,1,1.0000
2,Cm Fm,Cm,5,0.8333
2,Cm Fm,Gm,1,0.1667
2,Cm G,C,2,1.0000
2,Cm Gm,Cm,1,1.0000
2,D A,D,12,0.6667
2,D A,F#,6,0.3333
2,D Am,Dm,1,0.5000
2,D Am,D,1,0.5000
2,D C,Bb,1,0.3333
2,D C,Am,1,0.3333
2,D C,<E>,1,0.3333
2,D F,D,1,0.5000
2,D F,C,1,0.5000
2,Db Ab,Fm,1,1.0000
2,Db C,F,2,0.5000
2,Db C,<E>,2,0.5000
2,Db Dm,Am,1,1.0000
2,Dbm E,Dbm,2,0.6667
2,Dbm E,Dm,1,0.3333
2,Dm Ab,Db,1,1.0000
2,Dm Am,C,9,0.3462
2,Dm Am,<E>,6,0.2308
2,Dm Am,Dm,5,0.1923
2,Dm Am,Em,2,0.0769
2,Dm Am,Bb,1,0.0385
2,Dm Am,Gm,1,0.0385
2,Dm Am,Fm,1,0.0385
2,Dm Am,F,1,0.0385
2,Dm Bb,Dm,2,0.4000
2,Dm Bb,C,2,0.4000
2,Dm Bb,Fm,1,0.2000
2,Dm C,Dm,16,0.4000
2,Dm C,F,10,0.2500
2,Dm C,Am,4,0.1000
2,Dm C,<E>,4,0.1000
2,Dm C,E,2,0.0500
2,Dm C,Em,2,0.0500
2,Dm C,Bb,1,0.0250
2,Dm C,Ab,1,0.0250
2,Dm Em,Dm,1,1.0000
2,Dm F,Dm,2,0.3333
2,Dm F,E,2,0.3333
2,Dm F,Fm,1,0.1667
2,Dm F,<E>,1,0.1667
2,Dm Fm,C,14,1.0000
2,Dm Gm,Em,3,0.6000
2,Dm Gm,C,1,0.2000
2,Dm Gm,Dm,1,0.2000
2,E Am,C,2,0.6667
